Party (Division),Survey BNP,Survey BAL,Actual-Survey BNP,Actual
BNP1 (Rajshahi),44.4,9.2,9.48,53.88
BNP1 (Chittagong),41.9,17.1,9.98,51.88
BNP1 (Barisal),28.7,31.9,18.94,47.64
BNP1 (Dhaka),40.8,25.8,10.61,51.41
BNP1 (Mymensingh),45.7,17.3,5.9,51.6
BNP1 (Sylhet),44.7,18.3,14.84,59.54
BNP2 (Rajshahi),42.68,12.86,11.2,53.88
BNP2 (Chittagong),47.82,11.08,4.06,51.88
BNP2 (Barisal),39.66,24.58,7.98,47.64
BNP2 (Dhaka),44.71,18.46,6.7,51.41
BNP2 (Mymensingh),44.6,18.28,7,51.6
BNP2 (Sylhet),51.2,14.87,8.34,59.54
